GEOID,sovi,rank,state_id
g13057,-3.7054357926203783,147.0,g13
g13059,-0.0001508034826619431,83.0,g13
g13061,6.825416614375,3.0,g13
g13063,-0.8915743242581688,104.0,g13
g13065,0.7102945439174368,69.0,g13
g13067,-0.6871729417692272,97.0,g13
g13069,0.8769025404669728,61.0,g13
g13071,2.787465231736288,18.0,g13
g13073,-3.226206557390489,143.0,g13
g13075,-0.155409905590007,88.0,g13
g13077,-2.978027021724649,138.0,g13
g13079,-3.1408271716718277,141.0,g13
g13081,0.12564390576809986,80.0,g13
g13083,-2.121104304331399,125.0,g13
g13085,-2.3223257743003387,129.0,g13
g13087,0.2966660657547857,76.0,g13
g13089,0.6599082631699864,70.0,g13
g13091,1.1071408703916965,52.0,g13
g13093,3.546417033411159,13.0,g13
g13095,-1.4190182819016282,114.0,g13
g13097,-4.12842888987251,149.0,g13
g13099,1.711377401715446,34.0,g13
g13101,5.336142502483209,6.0,g13
g13103,-5.386768214896625,157.0,g13
g13105,0.24184645195412552,78.0,g13
g13107,1.011942667002241,58.0,g13
g13109,1.253480030568173,47.0,g13
g13111,-0.7823399295367572,99.0,g13
g13113,-2.449940074596518,131.0,g13
g13115,-0.24355940239202872,89.0,g13
g13117,-1.9030744257014254,122.0,g13
g13119,0.8558223769203737,62.0,g13
g13121,1.2027109716999957,49.0,g13
g13123,1.8431016253023444,32.0,g13
g13125,2.636926011127347,21.0,g13
g13127,-0.9369889126645193,107.0,g13
g13129,-0.09409019696476681,86.0,g13
g13131,0.7272010645994536,68.0,g13
g13133,2.6582671686770665,20.0,g13
g13135,0.7895147813225153,66.0,g13
g13137,0.2795396438937099,77.0,g13
g13139,1.3696525680222424,42.0,g13
g13141,4.516448036460607,9.0,g13
g13143,-1.0540853019348193,110.0,g13
g13145,-3.287586885202569,144.0,g13
g13147,1.0427415079953337,56.0,g13
g13149,-0.9389795315027947,108.0,g13
g13151,-4.493352827064977,153.0,g13
g13153,-2.7896800659202254,136.0,g13
g13155,1.2430760832222598,48.0,g13
g13157,-1.9423110242562431,123.0,g13
g13159,-2.4702657296012114,132.0,g13
g13161,0.826106639170104,65.0,g13
g13163,1.1007317136150858,53.0,g13
g13165,1.794773506173934,33.0,g13
g13167,2.9144001673303723,17.0,g13
g13169,-2.769354712553132,135.0,g13
g13171,-1.7187578882517665,117.0,g13
g13173,-0.8538883744994876,101.0,g13
g13175,-0.12227520416602755,87.0,g13
g13177,-3.8535159219558057,148.0,g13
g13179,-4.433820454301733,152.0,g13
g13181,0.8459706917850036,64.0,g13
g13183,-4.34093016601317,150.0,g13
g13185,-3.02986743373234,139.0,g13
g13187,-3.540049947652604,145.0,g13
g13189,-0.811991934395204,100.0,g13
g13191,-1.8401860001741384,120.0,g13
g13193,3.264443114498949,14.0,g13
g13195,-1.5035190132035003,116.0,g13
g13197,3.2043839725719048,16.0,g13
g13199,-0.9369105637065026,106.0,g13
g13201,2.177563671966742,23.0,g13
g13205,2.123419842703373,25.0,g13
g13207,-1.503264116733714,115.0,g13
g13209,1.377649787775628,41.0,g13
g13211,-1.1169474875899035,111.0,g13
g13213,-0.31693781322020453,91.0,g13
g13215,-1.7194941910183854,118.0,g13
g13217,-4.810467218550359,155.0,g13
g13219,-2.1630737549705605,126.0,g13
g13221,-0.7792764427455776,98.0,g13
g13223,-5.698626691904423,158.0,g13
g13225,0.020111912561919965,82.0,g13
g13227,-1.7246056767440052,119.0,g13
g13229,0.4832512534966322,72.0,g13
g13231,-4.760040600992386,154.0,g13
g13233,0.4407233968287951,73.0,g13
g13235,1.0440898569570682,55.0,g13
g13237,1.0202045234452926,57.0,g13
g13239,0.6445264005917664,71.0,g13
g13241,2.4711269010966124,22.0,g13
g13243,4.587608229784827,7.0,g13
g13245,-2.0073155130752074,124.0,g13
g13247,-2.7681088914220084,134.0,g13
g13249,-0.0533498812054789,84.0,g13
g13251,0.3401268188716927,75.0,g13
g13253,1.4943557286846625,38.0,g13
g13255,-2.242771177296568,127.0,g13
g13257,-0.9642595716758674,109.0,g13
g13259,7.1761717079265255,2.0,g13
g13261,1.1405792861878679,51.0,g13
g13263,0.13586201667799813,79.0,g13
g13265,3.6957643736165022,12.0,g13
g13267,3.735086137684042,11.0,g13
g13269,1.4914226402039115,39.0,g13
g13271,6.1111280808875765,5.0,g13
g13273,1.9633420329819038,28.0,g13
g13275,0.7584856723662827,67.0,g13
g13277,0.8519419846292015,63.0,g13
g13279,1.8591531467335591,29.0,g13
g13281,1.3670072407566234,43.0,g13
g13283,1.2781409451824417,45.0,g13
g13285,-1.2757826621816233,113.0,g13
g13287,1.0829367467607787,54.0,g13
g13289,1.60648893225842,37.0,g13
g13291,1.8457996550397127,31.0,g13
g13293,-0.6570851473705224,96.0,g13
g13295,-2.315106577203027,128.0,g13
g13297,-3.1552080828185662,142.0,g13
g13299,1.141178189544672,50.0,g13
g13301,2.777288282543384,19.0,g13
g13303,1.6434054015352402,35.0,g13
g13305,-0.07962772844792476,85.0,g13
g13307,1.6066890142016785,36.0,g13
g13309,6.614070903039672,4.0,g13
g13311,-1.1964933487587852,112.0,g13
g13313,2.133933277536487,24.0,g13
g13315,4.541451865493229,8.0,g13
g13317,-0.8571308360890311,102.0,g13
g13319,0.3821592352165933,74.0,g13
g13321,-0.40286868813488863,93.0,g13
g16001,0.4839038456452318,24.0,g16
g16003,-0.4727743372972206,30.0,g16
g16005,1.0730191981002903,19.0,g16
g16007,-2.1032200788765447,34.0,g16
g16009,5.147539809518533,1.0,g16
g16011,1.2008010154678843,16.0,g16
g16013,-6.397037946795438,44.0,g16
g16015,-2.240251415860117,35.0,g16
g16017,-0.3872956614665159,28.0,g16
g16019,-1.1055024024383395,31.0,g16
g16021,-0.0013060159045855668,26.0,g16
g16023,-0.13883537438100468,27.0,g16
g16025,-1.416682502696258,33.0,g16
g16027,3.178397810025225,4.0,g16
g16029,-3.4359158495044984,38.0,g16
g16031,1.1768347638013381,17.0,g16
g16033,1.6592029399735004,14.0,g16
g16035,1.1382975549563892,18.0,g16
g16037,-3.1194506463304856,37.0,g16
g16039,3.0231166831705316,5.0,g16
g16041,-5.439742441511,42.0,g16
g16043,-5.054223636629743,41.0,g16
g16045,2.730721236575425,7.0,g16
g16047,0.8134141484785574,21.0,g16
g16049,2.2683163453867152,12.0,g16
g16051,-3.7999090198337435,39.0,g16
g16053,2.7439397405659443,6.0,g16
g16055,-0.3935217836246776,29.0,g16
g16057,0.8109869950019934,22.0,g16
g16059,1.2763934146403269,15.0,g16
g16061,2.454389387576115,10.0,g16
g16063,0.5334753262487334,23.0,g16
g16065,-1.3831867169211502,32.0,g16
g16067,0.996691651897615,20.0,g16
g16069,2.6475358120290418,8.0,g16
g16071,-2.5269021054695795,36.0,g16
g16073,3.764437494219348,2.0,g16
g16075,2.530851884560658,9.0,g16
g16077,0.2510349646574366,25.0,g16
g16079,2.3670671026212258,11.0,g16
g16081,-4.86612530378561,40.0,g16
g16083,1.873933144430603,13.0,g16
g16085,-5.615777455817437,43.0,g16
g16087,3.753358425595324,3.0,g16
g17001,-1.129713399278351,73.0,g17
g17003,6.515282791340664,2.0,g17
g17005,-0.4786126777034845,60.0,g17
g17007,-4.003799786355504,95.0,g17
g17009,3.6947855559291383,9.0,g17
g17011,-0.14702064339780063,52.0,g17
g17013,1.3485429536691016,26.0,g17
g17015,0.865993879696277,33.0,g17
g17017,-0.28186855289113844,56.0,g17
g17019,1.8372083950945983,20.0,g17
g17021,0.2380823043534031,46.0,g17
g17023,0.10268847510952797,49.0,g17
g17025,3.085355384745978,13.0,g17
g17027,-2.2164692003658732,89.0,g17
g17029,0.373548943913657,42.0,g17
g17031,-0.8709062487402336,66.0,g17
g17033,2.957006447482599,14.0,g17
g17035,-0.18654689425485485,53.0,g17
g17037,-1.8710806247786056,84.0,g17
g17039,-1.687306540531396,80.0,g17
g17041,-1.8361763164040306,83.0,g17
g17043,-4.4725822982001935,97.0,g17
g17045,0.6126988463753302,38.0,g17
g17047,0.6545834361324332,36.0,g17
g17049,-2.0158596005270173,87.0,g17
g17051,1.0663937037790816,29.0,g17
g17053,-0.9482112726591182,69.0,g17
g17055,2.2626338280176412,17.0,g17
g17057,0.3616382975217405,43.0,g17
g17059,5.381813944312379,4.0,g17
g17061,0.20557583897508808,48.0,g17
g17063,-3.867126998483451,94.0,g17
g17065,3.463398486441359,11.0,g17
g17067,0.5258591308617447,40.0,g17
g17069,8.078314937616957,1.0,g17
g17071,0.9497522245051196,32.0,g17
g17073,-1.5780533116545632,79.0,g17
g17075,-0.6108997851407859,62.0,g17
g17077,5.878019372073202,3.0,g17
g17079,-0.5442975567090489,61.0,g17
g17081,1.9333645992985844,19.0,g17
g17083,-2.133836478918036,88.0,g17
g17085,1.3707232469585564,25.0,g17
g17087,3.449026120358127,12.0,g17
g17089,-5.341652616132178,99.0,g17
g17091,-1.6906262395242386,81.0,g17
g17093,-7.6725624004196655,102.0,g17
g17095,0.7932998443260464,35.0,g17
g17097,-4.805932479134507,98.0,g17
g17099,-1.4725584444266246,76.0,g17
g17101,4.043827300623632,7.0,g17
g17103,-1.0819278762854971,72.0,g17
g17105,-0.6745040562406169,63.0,g17
g17107,0.3467945222440827,44.0,g17
g17109,2.4573110398501843,16.0,g17
g17111,-5.702502140629204,101.0,g17
g17113,-1.8073591756287164,82.0,g17
g17115,-0.3305910483026236,58.0,g17
g17117,-1.0680145984224254,71.0,g17
g17119,-1.5525511429792518,77.0,g17
g17121,1.1940515363219422,28.0,g17
g17123,-0.6985556405047024,65.0,g17
g17125,1.450966907559466,23.0,g17
g17127,1.0434010309836466,30.0,g17
g17129,-1.9078597428592294,86.0,g17
g17131,-1.5533491744082413,78.0,g17
g17133,-4.445782772208962,96.0,g17
g17135,0.5810066909510723,39.0,g17
g17137,-0.23917223375351637,54.0,g17
g17139,-1.8964758271648798,85.0,g17
g17141,-2.91211620304514,92.0,g17
g17143,0.013805737260314421,50.0,g17
g17145,4.399719470948208,5.0,g17
g17147,-2.700903083694171,91.0,g17
g17149,2.934385306613445,15.0,g17
g17151,3.759979485522495,8.0,g17
g17153,4.305885152152206,6.0,g17
g17155,0.3001169706759967,45.0,g17
g17157,1.3211904430684693,27.0,g17
g17159,0.40065549640889286,41.0,g17
g17161,-0.9498602895490385,70.0,g17
g17163,-0.9356058509915621,68.0,g17
g17165,3.506390969241585,10.0,g17
g17167,-1.355070704691451,75.0,g17
g17169,1.7055635342653197,22.0,g17
g17171,-0.3711017086296362,59.0,g17
g17173,-0.11044108961103177,51.0,g17
g17175,-0.679647387961275,64.0,g17
g17177,-0.26592405289692644,55.0,g17
g17179,-2.59837407192566,90.0,g17
g17181,1.4062765968518542,24.0,g17
g17183,0.6297266723927185,37.0,g17
g17185,0.2358137394301968,47.0,g17
g17187,0.9519018827981534,31.0,g17
g17189,-0.9075245706971344,67.0,g17
g17191,0.8654924236873912,34.0,g17
g17193,1.7471103185406953,21.0,g17
g17195,-0.2881229716906265,57.0,g17
g17197,-5.588312213049083,100.0,g17
g17199,1.9990678181570434,18.0,g17
g17201,-1.2580859214150195,74.0,g17
g17203,-3.8625961195709864,93.0,g17
g23001,-0.6911132762856541,24.0,g23g33g25
g23003,3.8007134152462063,4.0,g23g33g25
g23005,-2.4858937167249535,37.0,g23g33g25
g23007,0.345785737563827,17.0,g23g33g25
g23009,-1.2623146947435384,29.0,g23g33g25
g23011,-0.21601324934402283,20.0,g23g33g25
g23013,-0.41367509559745963,22.0,g23g33g25
g23015,1.159285813404772,11.0,g23g33g25
g23017,0.9678327473507115,14.0,g23g33g25
g23019,-1.374564074453307,30.0,g23g33g25
g23021,2.5653271167849456,6.0,g23g33g25
g23023,-2.3045774558289542,34.0,g23g33g25
g23025,0.9843022008395613,13.0,g23g33g25
g23027,-1.1816819470722106,25.0,g23g33g25
g23029,5.011945450383564,2.0,g23g33g25
g23031,-2.202819465309857,32.0,g23g33g25
g25001,2.395529695899457,7.0,g23g33g25
g25003,2.3835049224735165,8.0,g23g33g25
g25005,3.96643879176822,3.0,g23g33g25
g25007,1.001196677654888,12.0,g23g33g25
g25009,3.111056119327468,5.0,g23g33g25
g25011,-0.3868704341279823,21.0,g23g33g25
g25013,7.190999137878112,1.0,g23g33g25
g25015,-1.2116826125149527,26.0,g23g33g25
g25017,-1.2163250597956738,27.0,g23g33g25
g25019,-6.728243772286739,40.0,g23g33g25
g25021,0.020700727939424568,19.0,g23g33g25
g25023,0.7931892253075987,16.0,g23g33g25
g25025,2.0087132139781105,9.0,g23g33g25
g25027,0.9509460958321156,15.0,g23g33g25
g29001,1.0995990610105344,39.0,g29
g29003,-3.4495156587629037,102.0,g29
g29005,-1.4884903739802042,81.0,g29
g29007,0.9161806437842397,45.0,g29
g29009,0.8293714187934541,50.0,g29
g29011,-0.9775150132902737,74.0,g29
g29013,-1.081578761761178,75.0,g29
g29015,2.408109020823106,22.0,g29
g29017,-3.494699712870011,103.0,g29
g29019,-1.1314348432396355,78.0,g29
g29021,0.535371407118872,54.0,g29
g29023,2.39070877933067,24.0,g29
g29025,-1.9787085392881125,89.0,g29
g29027,-3.046598693085052,101.0,g29
g29029,1.950203313427386,29.0,g29
g29031,-0.4034344361465686,67.0,g29
g29033,-1.617539602995053,84.0,g29
g29035,3.080067276617874,12.0,g29
g29037,-3.7664147318155963,107.0,g29
g29039,1.691148161035422,30.0,g29
g29041,1.2306121333368005,35.0,g29
g29043,-4.355581583102107,109.0,g29
g29045,-1.6939916049701982,85.0,g29
g29047,-2.612741443116057,96.0,g29
g29049,-2.2632361651572763,94.0,g29
g29051,-1.8042021239096615,86.0,g29
g29053,-1.824338223046062,87.0,g29
g29055,-0.10554570773315819,63.0,g29
g29057,0.872260601198089,48.0,g29
g29059,-2.0670111416793606,91.0,g29
g29061,-1.9246666251764841,88.0,g29
g29063,-7.345287446596766,115.0,g29
g29065,-0.20189487610431406,66.0,g29
g29067,-1.1747215186141706,79.0,g29
g29069,4.3099694406171185,4.0,g29
g29071,-3.5741087589563305,105.0,g29
g29073,1.00078935450281,42.0,g29
g29075,2.4615285291078597,21.0,g29
g29077,0.5281027603039463,55.0,g29
g29079,1.1986210717167365,36.0,g29
g29081,-0.19590567916597867,65.0,g29
g29083,1.0562903909610326,40.0,g29
g29085,5.71203978042609,3.0,g29
g29087,2.5049589797965623,20.0,g29
g29089,-0.1024132307425145,62.0,g29
g29091,0.8589696261244528,49.0,g29
g29093,2.039272995026409,28.0,g29
g29095,2.506851498301481,19.0,g29
g29097,2.5542156268239946,18.0,g29
g29099,-5.073682547329211,112.0,g29
g29101,-2.26243678665766,93.0,g29
g29103,1.1490945079250863,38.0,g29
g29105,-0.8377503667264009,73.0,g29
g29107,-2.4677401488017163,95.0,g29
g29109,1.1834051166166155,37.0,g29
g29111,0.49993632088712714,58.0,g29
g29113,-4.828580202741667,111.0,g29
g29115,0.8847152361773511,47.0,g29
g29117,2.690747095260193,16.0,g29
g29119,3.6189178016254617,7.0,g29
g29121,2.2350805018129916,26.0,g29
g29123,0.8029111184295397,51.0,g29
g29125,-1.1283282179329357,77.0,g29
g29127,1.5567593294504145,32.0,g29
g29129,2.7448410095868363,15.0,g29
g29131,0.5120062533268002,56.0,g29
g29133,-0.10700392452707308,64.0,g29
g29135,-2.0687306761788076,92.0,g29
g29137,0.6723208216266757,52.0,g29
g29139,0.5056273898637623,57.0,g29
g29141,2.6544161568259557,17.0,g29
g29143,3.5092297157031753,8.0,g29
g29145,1.2310089585190083,34.0,g29
g29147,-0.7104092932596158,72.0,g29
g29149,1.3690633772431098,33.0,g29
g29151,-5.968117148827629,113.0,g29
g29153,1.589578575334806,31.0,g29
g29155,4.03796115567099,5.0,g29
g29157,-3.011150595046112,100.0,g29
g29159,0.13969678969681298,60.0,g29
g29161,-1.2521619733971254,80.0,g29
g29163,-1.0965839520949219,76.0,g29
g29165,-3.6644820179790747,106.0,g29
g29167,-1.4912721993818183,82.0,g29
g29169,-2.647714972350017,98.0,g29
g29171,0.6041165160907269,53.0,g29
g29173,-2.6192331497887507,97.0,g29
g29175,-2.047023200389978,90.0,g29
g29177,-3.5689188273152244,104.0,g29
g29179,3.0711172099298167,13.0,g29
g29181,2.1671468466810166,27.0,g29
g29183,-6.163823217561667,114.0,g29
g29185,2.804166339648726,14.0,g29
g29186,-4.613707749033461,110.0,g29
g29187,-1.500001012543053,83.0,g29
g29189,-0.4476287940779824,68.0,g29
g29195,2.2659199824034992,25.0,g29
g29197,1.0145024443051898,41.0,g29
g29199,-0.5915463609709859,69.0,g29
g29201,0.8869615952236403,46.0,g29
g29203,0.9652185777417492,44.0,g29
g29205,0.9971971431166677,43.0,g29
g29207,-0.6206288684658137,70.0,g29
g29209,3.175061694633994,10.0,g29
g29211,6.215042137365347,2.0,g29
g29213,3.1622820144475035,11.0,g29
g29215,-0.047767945236062204,61.0,g29
g29217,3.4554031904178224,9.0,g29
g29219,-2.8136357505084337,99.0,g29
g29221,-0.6290228439341446,71.0,g29
g29223,2.405910631065745,23.0,g29
g29225,-3.827193990228102,108.0,g29
g29227,3.7701061272228267,6.0,g29
g29229,0.2288015607999807,59.0,g29
g29510,7.276340115728479,1.0,g29
g33001,0.27266015138857935,18.0,g23g33g25
g33003,-0.47238749786387824,23.0,g23g33g25
g33005,-2.4240548267980326,36.0,g23g33g25
g33007,1.3296815657121002,10.0,g23g33g25
g33009,-2.3192631274948496,35.0,g23g33g25
g33011,-2.2819366058886144,33.0,g23g33g25
g33013,-1.3957123637229643,31.0,g23g33g25
g33015,-4.700845122667109,39.0,g23g33g25
g33017,-3.7328628832827615,38.0,g23g33g25
g33019,-1.2569715249293876,28.0,g23g33g25
g36001,0.8709342940490181,23.0,g36
g36003,-0.41080958144803337,42.0,g36
g36005,6.343853121321166,1.0,g36
g36007,2.04906280329585,15.0,g36
g36009,0.14727471082676025,35.0,g36
g36011,0.16836905329832202,34.0,g36
g36013,2.7548723645499438,10.0,g36
g36015,3.3539661862035475,5.0,g36
g36017,2.103423462509989,13.0,g36
g36019,-0.9298132193628597,45.0,g36
g36021,3.2360265490804605,6.0,g36
g36023,0.1827789440462198,33.0,g36
g36025,3.476588412054495,4.0,g36
g36027,-2.99917464143854,52.0,g36
g36029,2.0537173360576135,14.0,g36
g36031,1.3792421260922305,17.0,g36
g36033,-5.990136606551801,61.0,g36
g36035,4.028239277778135,2.0,g36
g36037,0.06965969648437942,38.0,g36
g36039,0.9293853577482479,22.0,g36
g36041,3.012569527368796,7.0,g36
g36043,2.784119387806502,9.0,g36
g36045,-1.485256467211565,49.0,g36
g36047,1.2071975260357812,19.0,g36
g36049,-1.356950464233943,48.0,g36
g36051,-0.3123943841794574,41.0,g36
g36053,-1.3278303722492821,47.0,g36
g36055,1.0935741283436684,20.0,g36
g36057,3.8366154879761565,3.0,g36
g36059,-4.873088237497628,60.0,g36
g36061,0.7247169068436311,25.0,g36
g36063,1.5963638039547496,16.0,g36
g36065,2.9669060843955,8.0,g36
g36067,0.6242309790953623,27.0,g36
g36069,0.3464279712437706,32.0,g36
g36071,-4.3572637412058635,57.0,g36
g36073,0.8642046668898962,24.0,g36
g36075,-0.6586793117517353,43.0,g36
g36077,2.546081467073266,11.0,g36
g36079,-6.725365390562341,62.0,g36
g36081,-3.0032632735541442,53.0,g36
g36083,0.5574590480865895,28.0,g36
g36085,-3.328794559488122,55.0,g36
g36087,-4.1201807482932296,56.0,g36
g36089,0.3708931213748871,31.0,g36
g36091,-3.1601862688174065,54.0,g36
g36093,0.7132265278505319,26.0,g36
g36095,-0.8694221934274029,44.0,g36
g36097,0.13252629078672507,36.0,g36
g36099,0.3985426022736853,30.0,g36
g36101,1.091396953146262,21.0,g36
g36103,-4.844253837236915,59.0,g36
g36105,0.4442609271843633,29.0,g36
g36107,-1.2461041918809448,46.0,g36
g36109,-4.594243480900413,58.0,g36
g36111,0.09243323883823173,37.0,g36
g36113,1.3742764578667837,18.0,g36
g36115,-0.0011927695853066744,40.0,g36
g36117,0.05921883354893856,39.0,g36
g36119,-2.6390015972677654,50.0,g36
g36121,-2.928378300415425,51.0,g36
g36123,2.177148005179409,12.0,g36
g46003,1.1189011925669785,19.0,g46
g46005,4.745277640024412,5.0,g46
g46007,2.031218020097063,12.0,g46
g46009,-1.8781788355681737,49.0,g46
g46011,-0.46256842390944786,37.0,g46
g46013,-0.7694741286318976,42.0,g46
g46015,-0.007224749216065696,32.0,g46
g46017,0.5622503263636816,25.0,g46
g46019,1.1722499405660176,18.0,g46
g46021,3.0555431474683887,8.0,g46
g46023,-0.04758651624660974,33.0,g46
g46025,-0.37181959138393617,35.0,g46
g46027,0.45436707093689427,26.0,g46
g46029,-1.9199654728520483,50.0,g46
g46031,1.1175438199177694,20.0,g46
g46033,2.2428675723916247,11.0,g46
g46035,-2.014867414269134,51.0,g46
g46037,1.487271494757903,17.0,g46
g46039,-1.334080148575466,46.0,g46
g46041,1.854193982424075,14.0,g46
g46043,-3.1876129924123497,62.0,g46
g46045,-2.4404308944889435,58.0,g46
g46047,5.002600133848373,3.0,g46
g46049,-0.9510125608961614,45.0,g46
g46051,-0.45674530337849173,36.0,g46
g46053,0.3980943635610313,27.0,g46
g46055,-2.5743325743734746,59.0,g46
g46057,-2.2306966437216276,55.0,g46
g46059,-0.8067808978306976,43.0,g46
g46061,-3.478432488314036,63.0,g46
g46063,-0.9179972286271687,44.0,g46
g46065,-2.2298987987202046,54.0,g46
g46067,-2.2557385694232672,56.0,g46
g46069,1.7619323883822893,16.0,g46
g46071,-0.6816652568813037,38.0,g46
g46073,1.9123746709275502,13.0,g46
g46075,3.0943046861287984,7.0,g46
g46077,-1.4057794424431798,47.0,g46
g46079,-0.19046629963274822,34.0,g46
g46081,0.8236687200816251,24.0,g46
g46083,-5.618322787716648,66.0,g46
g46085,0.17083562680829445,30.0,g46
g46087,-3.5003520735530405,64.0,g46
g46089,0.8356915485563591,22.0,g46
g46091,1.7710562167439465,15.0,g46
g46093,-0.7008879092860041,39.0,g46
g46095,2.4433064234987474,10.0,g46
g46097,-2.269277517601584,57.0,g46
g46099,3.612022221523244,6.0,g46
g46101,-2.845876487333712,61.0,g46
g46103,0.3239681530362213,29.0,g46
g46105,-0.7424316443769532,40.0,g46
g46107,4.868725724966451,4.0,g46
g46109,0.8336253575181958,23.0,g46
g46111,-0.7639770072949411,41.0,g46
g46113,6.085098315939413,1.0,g46
g46115,-1.719857512632977,48.0,g46
g46117,-2.212984453086454,52.0,g46
g46119,-2.581774235620628,60.0,g46
g46121,3.003897054356147,9.0,g46
g46123,0.9225152701853155,21.0,g46
g46125,-2.21585937029391,53.0,g46
g46127,-5.429076901619869,65.0,g46
g46129,0.3975637856769083,28.0,g46
g46135,0.03827522423956331,31.0,g46
g46137,5.072793038719649,2.0,g46
g48001,3.0728557689750318,32.0,g48
g48003,-3.4850802732986117,226.0,g48
g48005,0.703129918409088,102.0,g48
g48007,0.24249694927866194,125.0,g48
g48009,-3.4709621339117334,224.0,g48
g48011,-0.39969968304957215,152.0,g48
g48013,-2.2899139455708126,209.0,g48
g48015,-2.37244323434652,210.0,g48
g48017,-0.10719892534953845,135.0,g48
g48019,-2.7657291746915975,217.0,g48
g48021,-3.6542028775132747,227.0,g48
g48023,1.064442979944236,88.0,g48
g48025,4.360087105111707,7.0,g48
g48027,0.28754130415209755,118.0,g48
g48029,1.0896589837470616,85.0,g48
g48031,-2.854997956873189,218.0,g48
g48033,-6.407733613543682,251.0,g48
g48035,0.44152458248392323,108.0,g48
g48037,2.1097376578566003,54.0,g48
g48039,-2.991335832783135,220.0,g48
g48041,0.25214384509988785,122.0,g48
g48043,-1.8710807162931586,198.0,g48
g48045,1.0759256351421336,86.0,g48
g48047,8.374642695031792,1.0,g48
g48049,0.4430357843726733,107.0,g48
g48051,-0.8249291524696605,170.0,g48
g48053,-1.4596266869127994,188.0,g48
g48055,-0.29461929399365017,148.0,g48
g48057,-1.0267591213275902,177.0,g48
g48059,-2.240023576738207,208.0,g48
g48061,2.141523238876139,52.0,g48
g48063,1.2166371512182081,74.0,g48
g48065,-3.7410175120009392,229.0,g48
g48067,3.2738523220607294,27.0,g48
g48069,-0.8646297155170302,171.0,g48
g48071,-5.878220147750428,250.0,g48
g48073,1.9926242228491184,58.0,g48
g48075,2.8711571755807066,36.0,g48
